fund,date,ticker,weight
combined_equal_weight,2023-12-01,ABBV,0.016666666666666666
combined_equal_weight,2023-12-01,ABT,0.016666666666666666
combined_equal_weight,2023-12-01,ADBE,0.016666666666666666
combined_equal_weight,2023-12-01,AEP,0.016666666666666666
combined_equal_weight,2023-12-01,AMD,0.016666666666666666
combined_equal_weight,2023-12-01,AMGN,0.016666666666666666
combined_equal_weight,2023-12-01,AMT,0.016666666666666666
combined_equal_weight,2023-12-01,BA,0.016666666666666666
combined_equal_weight,2023-12-01,CAT,0.016666666666666666
combined_equal_weight,2023-12-01,CCI,0.016666666666666666
combined_equal_weight,2023-12-01,CMCSA,0.016666666666666666
combined_equal_weight,2023-12-01,COP,0.016666666666666666
combined_equal_weight,2023-12-01,CR_ADA-USD,0.016666666666666666
combined_equal_weight,2023-12-01,CR_BCH-USD,0.016666666666666666
combined_equal_weight,2023-12-01,CR_BTC-USD,0.016666666666666666
combined_equal_weight,2023-12-01,CR_EOS-USD,0.016666666666666666
combined_equal_weight,2023-12-01,CR_ETC-USD,0.016666666666666666
combined_equal_weight,2023-12-01,CR_ETH-USD,0.016666666666666666
combined_equal_weight,2023-12-01,CR_LTC-USD,0.016666666666666666
combined_equal_weight,2023-12-01,CR_TRX-USD,0.016666666666666666
combined_equal_weight,2023-12-01,CR_XLM-USD,0.016666666666666666
combined_equal_weight,2023-12-01,CR_XRP-USD,0.016666666666666666
combined_equal_weight,2023-12-01,CVX,0.016666666666666666
combined_equal_weight,2023-12-01,D,0.016666666666666666
combined_equal_weight,2023-12-01,DD,0.016666666666666666
combined_equal_weight,2023-12-01,DIS,0.016666666666666666
combined_equal_weight,2023-12-01,DOW,0.016666666666666666
combined_equal_weight,2023-12-01,DUK,0.016666666666666666
combined_equal_weight,2023-12-01,EA,0.016666666666666666
combined_equal_weight,2023-12-01,GE,0.016666666666666666
combined_equal_weight,2023-12-01,GILD,0.016666666666666666
combined_equal_weight,2023-12-01,GS,0.016666666666666666
combined_equal_weight,2023-12-01,INTC,0.016666666666666666
combined_equal_weight,2023-12-01,KO,0.016666666666666666
combined_equal_weight,2023-12-01,MMM,0.016666666666666666
combined_equal_weight,2023-12-01,MRK,0.016666666666666666
combined_equal_weight,2023-12-01,MS,0.016666666666666666
combined_equal_weight,2023-12-01,NEE,0.016666666666666666
combined_equal_weight,2023-12-01,NEM,0.016666666666666666
combined_equal_weight,2023-12-01,NKE,0.016666666666666666
combined_equal_weight,2023-12-01,NUE,0.016666666666666666
combined_equal_weight,2023-12-01,NVDA,0.016666666666666666
combined_equal_weight,2023-12-01,O,0.016666666666666666
combined_equal_weight,2023-12-01,OXY,0.016666666666666666
combined_equal_weight,2023-12-01,PLD,0.016666666666666666
combined_equal_weight,2023-12-01,PSA,0.016666666666666666
combined_equal_weight,2023-12-01,QCOM,0.016666666666666666
combined_equal_weight,2023-12-01,SBUX,0.016666666666666666
combined_equal_weight,2023-12-01,SHW,0.016666666666666666
combined_equal_weight,2023-12-01,SLB,0.016666666666666666
combined_equal_weight,2023-12-01,SO,0.016666666666666666
